,0,1,2,3
0,Gloria Estefan,"In this life, I'm always going to choose the positive.","[life, choose, always]",positive
1,Vusi Mahlasela,"I feel blessed to be a musician, and I know it's a power given to me from God that I must use in a very positive way.","[god, power, blessed]",positive
2,Bonnie Blair,"What I've learned from my own journey, and from my family's experience with cancer, is how important it is to stay positive and move forward. Not every day is going to be perfect; that's life. But staying positive is going to get you to the next day.","[life, family, journey]",positive
3,Joyce Meyer,"I believe many people feel like God is mad at them. One day I put a post on Facebook that said, 'God is not mad at you.' Within a few hours, we literally had thousands of positive responses from people saying things like, 'That is exactly what I needed to hear today.' Obviously, this is a message we need to hear.","[god, today, day]",positive
4,Psy,"As an artist, the more experience, the better the creation. I'm a very positive person.","[experience, artist, better]",positive
5,Joshua Michael Stern,"Doing a movie about Steve Jobs is just generally a provocative thing to do, whoever does it, and it begs a lot of questioning and skepticism only in that, what is this going to be? What am I going to be looking at? And curiosity as well. I think that's all positive in any film, because you want people to be curious about it.","[curiosity, people, looking]",positive
6,Dwyane Wade,I don't think the world focuses on the positive things enough.,"[world, think, enough]",positive
7,Jessica Jackley,I believe in entrepreneurs. I believe in their ability to make positive change in the world.,"[change, believe, world]",positive
8,Suresh Raina,"Celebration is big for me. From my younger days, when I used to win mementos while playing basketball, I have always believed in sharing my success. It has to be there. It lifts the energy levels of the entire side if you are positive and vocal when a wicket falls.","[success, basketball, me]",positive
9,Monica Denise Brown,"I find the positive in the negative all the time. Any time you give something power, it wins, and it can continuously happen, so I just let negative people know they have no place in my life. They have no place around my children.","[life, time, children]",positive
10,Jimmy Cliff,"I'm the kind of person who likes to hang out and observe what's going on in the streets, or in certain places. I used to do that a lot. But having to become an international superstar, I can't do that comfortably! But it's all positive, you know.","[know, you, kind]",positive
11,Andy Garcia,I don't think lying has any ultimate justification. I don't think it ever leads to anything positive. The good fight to have is not to lie. That's one of the challenges in a way.,"[good, challenges, fight]",positive
12,Donna Karan,"I've always been about the power of a woman - accentuating the positive, deleting the negative, whether you're talking her body, her voice or her leadership.","[leadership, power, woman]",positive
13,Joyce Carol Oates,"Among many of my friends and acquaintances, I seem to be one of the very few individuals who felt or feels no ambivalence about my mother. All my feelings for my mother were positive, very strong and abiding.","[mother, strong, friends]",positive
14,Muhammad Yunus,"Engaging in social business is beneficial to a company because it leverages on business competencies to address social issues, involves one-time investment with sustainable results, and produces other positive effects such as employee motivation and improved organizational culture.","[business, culture]",positive
15,Yaya Han,"I think 'Heroes of Cosplay' will show a lot of the positive things, like how much effort it takes to make a costume. These people on the show aren't taking shortcuts. As long as that effort gets through to the viewers, we will be inspirational. Then there will be people who watch the show that want to get in and hands-on make outfits.","[inspirational, effort]",positive
16,Marcus Samuelsson,"I came into this environment where there was so much love, so much positive energy. I never heard my parents say, 'We have adopted kids.' The minute my sister Linda and I landed in Sweden, we were their kids.","[love, sister, parents]",positive
17,Ezra Taft Benson,A positive self-image has little relationship to our material circumstances.,"[relationship, self-image]",positive
18,Monica Crowley,"Two famous happy warriors - Reagan and his political soulmate, British Prime Minister Margaret Thatcher - knew they were fighting their own ideological and external wars. But they did so with the sunny dispositions and positive outlooks of those who knew they were on the right side of history.","[history, happy, political]",positive
19,P. J. O'Rourke,"All religions must be made child-proof. Our teachers' unions have done good work in this field, K through 12. Delaying first communions and bar mitzvahs until age 21 would be another positive step.","[work, age, good]",positive
20,Jack Canfield,"If I hadn't spent many years trying to be as compassionate as Mother Teresa, as positive a thinker as W. Clement Stone, as prolific a writer as Stephen King, and as good a speaker as many of the legends I have studied, I would not be as successful as I am today.","[good, today, mother]",positive
21,Kim Young-ha,"In the early 2000s, people expected that anonymity on the Internet would be positive for the development of democracy in South Korea. In a Confucian culture like South Korea's, hierarchy can block the free exchange of opinions in face-to-face situations. The web offered a way around that.","[culture, democracy, internet]",positive
22,Jason Mraz,"'Yes' is the mother of all positive words, next to 'love.' Maybe 'love' is the father of all positive words.","[love, father, mother]",positive
23,Martha Beck,"If we're stuck with having expectations, there's a very good reason to embrace positive ones: It's that we often create what we anticipate.","[good, expectations, reason]",positive
24,Hit-Boy,"I had to learn how to think as a positive human being, before anything.","[learn, think, human]",positive
25,Sean Covey,"Stop being a critic and be a light; don't be a judge, be a model. I think we are far too critical. I think the best way to correct behavior is to accentuate and affirm positive behavior and to ignore negative behavior. Generally speaking, there is a time to correct, of course; but my biggest advice would be, 'Affirm your child.'","[best, time, light]",positive
