,0,1,2,3
0,Jo Brand,"So, my style has hopefully changed over the years and it is more relaxed, and I do tend to smile and have more than one expression these days hopefully - which I didn't at the beginning.","[beginning, style, days]",smile
1,Drew Barrymore,"I don't mind a little Sturm und Drang. When I was doing 'Riding in Cars With Boys,' I wouldn't smile at anybody, because my character, Bev, was angry at the world. I'm the opposite. Inside my head I'd be like, God, I'll explain to you at the end of shooting that I'm not this person.","[god, character, end]",smile
2,Tina Brown,"Obama's stern demeanor punctuated by intermittent flashes of his wide, relaxing smile is his greatest weapon in defusing pent-up angst.","[greatest, weapon, angst]",smile
3,Chris Pine,"For me, fragrances are very - one of these beautiful art forms that bring about a whole host of things. It's what you want to smell like, it's memories that make you smile or are resonant of times in your life, it can remind you of music. If you're a lover of scent, it's a very kind of particular and evocative thing.","[life, music, art]",smile
4,Selena Gomez,"I would try to promote something that I loved, and the entire interview would be about my personal life. I would leave a room feeling defeated, feeling embarrassed, but I would always make sure to put that smile on my face because I wasn't going to let them get to me.","[life, me, face]",smile
5,Robert Gottlieb,"City Ballet has to develop choreographers of stature and a new approach to coaching before everything we value about it fades away and, in the great tradition of the Cheshire Cat, there's nothing left but Peter Martins' smile.","[great, coaching, value]",smile
6,Helen Fisher,"In general, men are wired to notice obvious signs that convey interest in mating - a warm smile, for example - and ignore other subtleties, like if your lipstick is faded.","[men, warm, lipstick]",smile
7,Ron White,"I was talking to a guy who was holding his 18-month-old daughter with the only limb he had left, and he had a smile on his face. I thought, 'I'm not even a 10th of this man.'","[daughter, man, thought]",smile
8,Chuck Norris,"It's amazing because people come up to me and say, 'Chuck, you're the luckiest guy in the world to be a world karate champion and a movie and TV star.' When they say this to me, I kind of smile because luck had nothing to do with it; God had everything to do with it.","[god, amazing, world]",smile
9,Mo Ibrahim,More people smile at me now I'm richer.,"[people, me, now]",smile
10,Henry Ward Beecher,"Laughter is day, and sobriety is night; a smile is the twilight that hovers gently between both, more bewitching than either.","[laughter, day, night]",smile
11,Nadia Comaneci,"Of course I used to smile and laugh in 1976, but not when I was competing. Please show me somebody who laughs when they are concentrating; I always smiled.","[me, laugh, always]",smile
12,Natalie Dormer,"I get accused of having a haughty smugness. I have a lopsided mouth. I can't help it. I was born with it. It looks as if I am smirking. I have had my publicist tell me, 'Don't do that smile on the red carpet.' I'm, like, 'That's my smile.'","[i am, help, me]",smile
13,George Takei,What is important is the reliability of my posts being there to greet my fans with a smile or a giggle every morning. That's how we keep on growing.,"[morning, important, growing]",smile
14,George Takei,"People want to start their day off with a smile or, better yet, a guffaw.","[day, people, start]",smile
15,George Foreman,"I am so happy to be alive. That's the one thing I'd like for people to know. Sometimes people walk by and slip up and say the wrong thing about me, and I'll smile. They wonder why am I smiling. Because I'm happy that I'm alive.","[happy, i am, people]",smile
16,Gerry Cooney,I'm a happy guy. I just want to see people laugh and smile.,"[happy, people, laugh]",smile
17,Honore de Balzac,There are some women whose pregnancy would make some sly bachelor smile.,"[women, pregnancy, bachelor]",smile
18,Estelle,"If you cannot smile when you listen to music, then do not listen to it!","[music, listen, you]",smile
19,Thomas Fuller,"Let him who expects one class of society to prosper in the highest degree, while the other is in distress, try whether one side; of the face can smile while the other is pinched.","[society, face, try]",smile
20,Ansel Elgort,"I hated the ballet, but I liked performing. I did 20 shows, and I couldn't get the smile off my face.","[face, ballet, performing]",smile
21,Keke Palmer,"Comedians like to see people smile. With acting, I love giving people a feeling, an emotion. I like to give people a feeling. When they come away from my scene, I want them to think.","[love, giving, people]",smile
22,Heidi Klum,"I believe that when you put a smile out there, you get a smile back.","[believe, i believe, you]",smile
23,Heidi Klum,"I am generally a very happy and easygoing person. I also believe it's always better to meet people with a smile rather than looking cold, especially when you first meet. It changes everything.","[happy, believe, i am]",smile
24,Heidi Klum,"I feel like looking in the mirror when you brush your teeth, yes, I see lines, and then I smile and I see things here and there. But that's just, you know, you - that's your journey, you know?","[journey, mirror, looking]",smile
25,Victoria Beckham,I actually used to smile a lot in pictures. I think I only stopped smiling when I got into fashion. Fashion stole my smile!,"[fashion, pictures, think]",smile
